ID,Rock,Origin,Transplant,Length,SA,Protein,Volume,CaCO3,Lipids,BW,Pct SA,Pct Protein,Pct Volume,Pct Lipids,Pct BW,PARQ3,TempQ3
FF01,FR4,Flat,Shallow,0.6,3.893067963,20.6728127,1.915523639,3.418847368,2.333333333,2.217,16.75042954,47.85848216,49.04179931,44.77091633,96.64341761,922,27.4
FF02,FR5,Flat,Shallow,2.5,24.6460428,54.94505705,5.605469787,5.013384211,,3.251,106.0427938,127.2002543,143.5128853,NA,131.6194332,922,27.4
FF03,FR1,Flat,Shallow,1.1,11.75932627,59.35939968,2.648128893,4.169852632,,2.704,50.59602554,137.4196541,67.79817438,NA,141.6448402,922,27.4
FF04,FR2,Flat,Shallow,2,14.89629121,62.64758029,3.209819275,3.893815789,-0.166666667,2.525,64.09322382,145.0319387,82.17873665,56.87250996,99.68416897,922,27.4
FF05,FR2,Flat,Shallow,2,19.9783802,-9.012446268,3.34863551,4.555378947,1.5,2.954,85.95957044,-20.86421453,85.7327507,101.9920319,157.0441255,922,27.4
FF06,FR5,Flat,Shallow,2,19.42789145,52.55196276,2.837535821,3.918489474,-1.5,2.541,83.59102123,121.6601345,72.64742622,19.37250996,140.5420354,922,27.4
FF07,FR1,Flat,Shallow,2.3,17.56057389,11.05528282,3.360544239,7.213968421,1.5,4.678,75.5566454,25.59347212,86.03764148,82.8685259,221.9165085,922,27.4
FF08,FR4,Flat,Shallow,1.4,18.93971246,51.35939968,3.207677788,4.428926316,1.166666667,2.872,81.49056786,118.8992978,82.12390968,71.812749,150.0522466,922,27.4
FF09,FR3,Flat,Shallow,3.6,27.66344827,65.90920048,4.229344013,5.516110526,2.166666667,3.577,119.025572,152.5827347,108.2809087,65.01494024,176.816609,922,27.4
FF10,FR3,Flat,Shallow,1.7,15.05152621,81.3540876,3.224340175,4.300931579,0.5,2.789,64.76114253,188.3383363,82.550505,50.0747012,138.6872203,922,27.4
FF11,FR4,Flat,Shallow,1.5,10.04187633,47.04333062,2.217410844,3.546842105,3.166666667,2.3,43.20647457,108.9074057,56.77080426,131.5737052,106.3337957,922,27.4
FF13,FR4,Flat,Shallow,0.7,15.86166084,42.6170358,2.82983807,4.243873684,,2.752,68.24685177,98.66033605,72.45034615,NA,123.4080717,922,27.4
FF14,FR1,Flat,Shallow,0.9,12.17618449,68.96364935,3.035582853,3.938536842,2.833333333,2.554,52.38961206,159.6539199,77.71788456,128.5856574,117.804428,922,27.4
FF15,FR2,Flat,Shallow,3.2,22.47175921,60.12433992,3.271552504,4.576968421,-0.5,2.968,96.68765684,139.1905249,83.75924893,49.40239044,137.5347544,922,27.4
FF16,FR2,Flat,Shallow,1.9,10.51866421,23.95966529,1.712788461,3.081126316,-0.833333333,1.998,45.25791622,55.4676923,43.85131367,39.0936255,110.8153078,922,27.4
FF17,FR2,Flat,Shallow,3.7,30.97863721,57.46829742,4.874687306,6.128326316,1.833333333,3.974,133.2896021,133.0416682,124.8031774,101.6932271,170.4116638,922,27.4
FF18,FR4,Flat,Shallow,0.6,4.605081466,30.97427352,2.287085709,3.710305263,1.833333333,2.406,19.81395993,71.70682279,58.55464064,34.46215139,117.3086299,922,27.4
FF19,FR5,Flat,Shallow,2.3,27.13577352,65.73655772,5.410359678,5.856915789,1.833333333,3.798,116.755183,152.183059,138.5176189,97.65936255,131.6464471,922,27.4
FF20,FR5,Flat,Shallow,1.3,8.156592552,23.09910752,1.413964371,2.951589474,-0.5,1.914,35.09479672,53.47546274,36.20073147,43.42629482,100.3144654,922,27.4
